text,label,pred_correct_at_words
feel wrong judg peopl make time howev also found actual life need respons action peopl around us,anger,2.0
know feel stem part accept mainstream importantli commun seek belonging,joy,2.0
realli like special edit realli feel special song,joy,3.0
feel must blog constantli loyal fan baker thia sandwich scruncher cours mini rex,love,5.0
im current feel way fuck mother tongu paper,anger,1.0
feel innoc love,joy,1.0
feel like sweet carbi yet low glycem meal breakfast often dessert,joy,1.0
feel safe encod utf local en ispriv fals ismobil fals mobileclass isprivateblog fals languagedirect ltr feedlink link rel altern type applic atom xml titl could use stand ovat could,joy,1.0
realli lose lot nest homemak instinct desir pregnant longer im pregnant wors get though get month repriev feel creativ around six month mark youll notic post halloween,joy,15.0
feel opportun return moz god graciou graciou way give heat desir despit self doubt uncertainti past,joy,1.0
feel realli lucki found resourc alway felt answer need ask,joy,1.0
keep run hill fit wise feel fine along foot calv start hurt also begin tire,joy,5.0
alway sensit everi sens feel like assault drag away dark,fear,7.0
suppos ought feel thank ad sarcast edg age,joy,3.0
couldnt help feel total distraught utterli helpless lorena kidnap tortur almost death band enemi desper freedom,fear,5.0
feel unfortun mister magnum sound cheer travel well long period race,sadness,2.0
feel tortur tragic enough without import sparkl,anger,2.0
feel selfish think way feel lone time,anger,2.0
feel drain energi,sadness,2.0
think day chat mom amp also feel horni masturb,love,8.0
feel pretti stinkin shitti horribl review,sadness,4.0
feel helpless,sadness,
feel aw sunday,sadness,2.0
dont know start feel weird pressur larg silent audienc fals inflat sens import express ever articul opinion said audienc,surprise,
woke nap feel extrem agit grumpi,fear,2.0
ive studi realli hard discov pretti word never cross mind portray exact mean feel like ive miss lot,sadness,1.0
feel lone work im social bird usual school,sadness,2.0
love comment feel free post one,joy,2.0
feel intimid great women famili tree,fear,2.0
truli feel lot posit thing help condit worker famili kid,joy,3.0
think may reason would want fli back uae oblivi conflict plagu conflict feel helpless resolv,sadness,15.0
saw video cena kiss maria surprisingli didnt feel like hate,sadness,7.0
feel like rather unkind,anger,4.0
feel submiss,sadness,2.0
feel bit obnoxi defin weather,anger,3.0
say press torso siwon bring face close enough feel siwon agit breath,anger,1.0
indiffer tell feel word treasur ever sinc feel start bloom one moment want keep,love,5.0
feel he casual entir futur,joy,1.0
still feel strong miss coupl lift,joy,2.0
sat couch sever hour feel pretti low,sadness,7.0
check long time ago say happi way back feel content everyon everyth around,joy,6.0
write someth big happen like fun trip mileston time write tell im feel sweet babi snuggl grow person,joy,1.0
hate expect must need man life feel worthwhil valu,joy,8.0
feel love kind allow us think feel consciou interact variou thing bodi mind,love,2.0
feel complet bless part group,love,4.0
im type doesnt use moistur skin oili product design contain ton moistur ingredi make skin feel love without oil,love,17.0
im afraid im environ make feel relax caus,joy,
feel overwhelm want physic shake everyth way would spider shirt,surprise,5.0
say littl piec feel agit watch discuss race style color font famili georgia serif font size px line height,fear,5.0
feel cant touch said love bit much wont deni broke heart cant find crush dont come back home,sadness,3.0
feel littl frustrat ach long settl heart weari life slip around shoulder like unwelcom friend,anger,3.0
even rememb tri last year feel crappi nowher near close,sadness,1.0
broke uncl radio player accident fear go cut go hous well play,fear,6.0
feel conflict whether follow christ celebr ever popular pagan origin modern day holiday,joy,1.0
feel impati took pill,anger,2.0
feel carefre weightless yet worri ground time,joy,1.0
feel sincer repent past opposit civil right,joy,1.0
one point put son daycar mom constantli made feel like terribl parent,sadness,11.0
thing list feel super guilti relax,joy,4.0
feel uncertain motiv feel inbal committ process counsel reconcili,fear,2.0
feel like realli valuabl,joy,1.0
feel like go emot angri,anger,5.0
ive much train grammar languag read someth written like kind feel like im assault,sadness,1.0
feel insult everyon compar sneha,anger,2.0
still wake everi morn feel bless unabl believ im lucki enough abl call amaz famili mine life,joy,2.0
feel leader countri depict peopl countri love god hope one thought way support like georg w,love,10.0
feel realli horni afternoon one fulfil sexual desir bed creativ thought help forget handss aahhh work like magic,love,3.0
know scone must food determin live frugal lifestyl without feel depriv,sadness,1.0
giggl nervous feel threaten,fear,2.0
feel horribl helpless make thing better feel like kill insid,sadness,2.0
take pictur hous feel far messi post photo onlin ill clean bit post,sadness,6.0
feel hate loath,sadness,
pick feel littl apprehens,fear,3.0
ive feel numb,sadness,1.0
im feel everi bit spite vindict bitch time,anger,1.0
got feel look eye sincer,joy,5.0
feel assur mind one,joy,1.0
feel unfortun dont soundtrack,sadness,2.0
believ feel nervou father reassur noth nervou make nervou,fear,3.0
feel uptight day complet he around feel right littl nerv dream date thing pursu wed alway dream mine day min,fear,2.0
think would come fast would come suppos feel cranki today,anger,2.0
feel im go stubborn,anger,4.0
feel lone lost,sadness,2.0
would feel empti,sadness,3.0
start feel agit lack patienc right cranki,anger,3.0
know easi twist thing creat explan im still sure one help feel littl less mad,anger,3.0
feel rich yup know bless,joy,1.0
didnt tell didnt want feel afraid,fear,6.0
love media coverag sometim feel put ugli pictur,sadness,7.0
feel though littl neglect fellow blogger,sadness,5.0
sort hate glass make eye look small sinc huge eye go quit upset im hope bigger frame make feel less paranoid,fear,15.0
cant believ moment feel use im wash dish,joy,5.0
feel distress music mind rewrit fma op,fear,2.0
im feel quit lone monday half term,sadness,4.0
feel realli social awkward dont like get meet new peopl thing group adventur,sadness,3.0
admir athletic feel like would entertain got watch sever shape peopl particip olymp event,joy,6.0
feel horribl feel horribl made wors fact havent gotten workout,sadness,2.0
would hate bit imagin secretari feel irrit day eh,anger,1.0
feel im unhappi,sadness,3.0
feel like take time care flower wonder loyal hive,love,6.0
rememb feel amaz,surprise,3.0
know never see place would break heart thick layer moss encas thick shell muffl sharper feel pleasant pain,joy,17.0
nameless mid bottom law school graduat find margin attach awash sea overeduc underpaid indentur peer feel dupe promis better life debt modern chemistri,joy,2.0
truli feel contribut blog world especi regard educ writer valuabl,joy,3.0
feel like would clever get ton thing time,joy,1.0
know she right feel energet awak patient happi im run daili still feel littl bad believ breast milk much better babi formula,joy,4.0
quickli trot ad feel embarrass ask hope would enter kind convers,sadness,5.0
hate got drunk whole next day spent sleep feel groggi,sadness,3.0
love discuss class feel passion feminist issu go write feel though fake,love,1.0
would want welcom home end feel mommyhood threaten inabl breastfe babi,fear,8.0
feel agit result pleasant opposit calm peac,anger,5.0
feel honor student come class,joy,1.0
often tell want attent especi feel horni want good sex hour,love,7.0
get anxiou feel feel xox soon itll real thing alreadi need flawless,joy,1.0
feel rich bless joy,joy,1.0
horribl anxieti dream everi night last week made feel realli paranoid cours read conspiraci theori unsolv crime onlin didnt huge help matter,fear,11.0
truli feel somehow enough hate get mad,anger,1.0
rememb feel uncertain young especi becam teenag,fear,3.0
feel cant get far enough away feed melancholi long enough would wither die,sadness,3.0
want enter defianc come differ cultur feel offend allow,anger,8.0
feel rebelli ate,anger,2.0
feel agit restless edg quit often,anger,4.0
feel uncomfort use word awesom idea actual,fear,2.0
im feel rather pleas tonight,joy,2.0
feel like lead gentl kind,love,4.0
feel like activ hate everi singl second rather born,anger,6.0
im feel indecis scare,fear,4.0
feel violent tug eye socket,anger,2.0
feel carefre nowwwwww,joy,1.0
believ display deep emot yearn semblanc normal peac sinc appear danc arab feel threaten fulli arm soldier,fear,14.0
left feel discourag hopeless,sadness,1.0
feel go get messi get fix back road,sadness,4.0
feel frustrat easier day rememb bless research learn trial error hard success patienc give far better garden long run,anger,2.0
sick cold amp feel well wonder would even abl patienc go whitley month photo shoot,joy,5.0
tempt feel littl bitter saw,anger,4.0
feel kind insecur anyway back doha,fear,3.0
grate longer feel frantic urg fix emot upset around,fear,1.0
feel strang brew,surprise,3.0
feel quit strongli student punish due well badli fair compar complet unrel group peopl,sadness,5.0
want job perman feel like valu,joy,1.0
care someon emot spiritu intellectu progress point feel like exert progress import love,joy,5.0
actual feel comfort speak other japanes feel pretti happi current progress,joy,2.0
learn differ thing like famili plan arrang even real pain feel love one pass,love,4.0
feel least date would vain,sadness,5.0
like keep record life written form pictur feel like even import babi,joy,3.0
feel unhappi miser wretch glum gloomi forelorn heartbroken,sadness,2.0
realli feel horribl irrit littl bit depress,anger,1.0
feel honour part seri join wonder talent ladi celebr womanhood,joy,1.0
feel confid team right four hour ago,joy,1.0
simpli said sorri got car got hous feel restless,fear,1.0
ive feel bit paranoid like realli notic im everyon see,fear,3.0
feel fabul bird weekend everyon,joy,1.0
bu stop hear squeak baachan trolley feel littl paranoid,fear,9.0
im feel rush like plan certain thing summer longer,anger,1.0
feel cold breez,anger,2.0
tri breath feel frustrat breath calm desir,anger,1.0
feel languag warn pretti benign open suggest improv,joy,1.0
knew thing head didnt realli prepar heartbreak even would feel heart broke daniel militari wive go thru lose husband tri protect countri,sadness,12.0
suddenli feel lot smarter talent last night,joy,4.0
get actual feel like everyon buy smell amaz,joy,1.0
feel though cant bear motion quilt even though idea delight day ago,joy,1.0
feel heartless feel bore believ love anymor,anger,2.0
end shoeless make feel even vulner slow,fear,6.0
highli critic denni covington book articl must admit say someth merit discuss note close chapter feel god danger busi,anger,2.0
refer cours though cant help feel somehow iron retrospect loudon son kate mcgarrigl rather talent rufu wainwright,joy,
feel lone day birthday,sadness,2.0
feel like captur sweet look,joy,1.0
envis intend im feel unsur whether got vision intent right,fear,5.0
feel like need cute pictur share,joy,1.0
feel low,sadness,2.0
feel realli angri sometim love god havent enough,anger,3.0
feel sorri rafael bosch,sadness,2.0
hope certain peopl attend import thing live still come back blog feel miss blog,sadness,13.0
feel comfort stay hous feel relentless im ask someth tire almost time bore without money,joy,1.0
guess im feel gener today decid offer fabul deal popular print moment,joy,3.0
begin feel unpleas anim fandom gener,sadness,
feel tender disori,love,2.0
feel realli carefre today realli carefre,joy,1.0
feel miser sick hope amount sleep get havent much choic zero energi cold med vitamin lot fluid high hope feel better tomorrow,sadness,2.0
im feel cranki horribl,anger,1.0
im comfort relationship wont feel slutti one person amount would singl,love,6.0
feel troubl ongo reloc front door,sadness,2.0
ask make feel fabul said healthi famili healthi live free countri,joy,4.0
woke feel incred content amp optimist today howev woke terribl cold complet lack energi,joy,1.0
im feel combin terrifi reliev,fear,4.0
realli feel wrong patient,anger,1.0
feel gulam ali even talent mani classic singer,joy,1.0
go guy someon want genuin guy would treat right spend qualiti time make feel special,joy,1.0
think feel passion favorit workout gear love see peopl love need live without hope share favorit comment,love,6.0
feel strang start sale,surprise,4.0
alway notic even though fabul hide accord rest world feel keenli greatli distress,fear,13.0
feel shaken guilti better mother shield offspr health problem,fear,2.0
feel like greedi littl traitor look look among cover hey littl snotfac take,anger,3.0
feel like rude ass hole hookah,anger,3.0
feel belov reciproc,love,2.0
feel heartbroken bryan,sadness,2.0
feel like fake everyth,sadness,3.0
would feel differ believ leader perfectli truth,joy,2.0
cant help feel long outsid feel rain skin sticki tree drop feet,love,4.0
made feel like fault control husband violent behavior even believ exist,anger,7.0
feel like import reveal lesson youv learn tough time along one youv learn awesom time endeavor build audienc honesti authent,joy,1.0
feel disgust need act cute like action gwiyomi,anger,2.0
said feel incred thank whole,joy,1.0
feel inspir eager press sun shine,joy,1.0
im hope walk thigh feel friendli today,joy,2.0
feel nervou sure like anyon els would posit,fear,2.0
older might feel frighten spend time left alon,fear,4.0
must say feel accept someth poison chalic,love,3.0
im introvert mean get energ alon prefer quiet place time crew galley lot peopl rel small place talk leav feel drain need dark room noth whale nois,sadness,6.0
im feel gener ill give stori well,love,
find scent pretti gener actual feel like bath amp bodywork didnt invest much time collect like creat sweet pari decid throw togeth two predict scent,joy,2.0
like person becom feel much carefre liber time dont recogn,joy,7.0
feel numb right thought feel angri dont know dont feel anyth sad happi angri dont know feel anymor,sadness,2.0
feel discont life day,sadness,2.0
im start buy whole everyth happen reason bit god plan b c feel god love there way would tortur women like weve tortur deal w fertil issu,anger,1.0
feel truli impati take long,anger,3.0
want say want feel come bitter angri,anger,7.0
know feel like face irat custom,anger,5.0
alway peopl life gone way put trip make feel complet moron worthi enough,sadness,1.0
im feel fine,joy,2.0
prep anoth sleepless night help feel asham feel way,sadness,7.0
im feel quit pleas week,joy,2.0
still feel shaki worst hit area damag destruct complet,fear,3.0
throw ocean feel would miss someth career win oscar,sadness,1.0
feel privileg narrat erik princ autobiographi civilian warrior insid stori blackwat unsung hero war terror releas monday nov th,joy,1.0
im use feel depend needi needi least wasnt prior recent,sadness,2.0
feel hope look forward,joy,1.0
feel mccarthi place yet career realli consist human charact balanc fact suppos funni,surprise,13.0
feel uncertain uneasi,fear,2.0
feel comfort around,joy,1.0
feel privileg opportun part,joy,1.0
feel nervou go back america know expect transit like,fear,2.0
start feel kind skeptic,fear,4.0
love littl boy sometim feel inadequ parent,sadness,6.0
keep thing predominantli fix function arrang right creat style appli twelv month previou ingredi feel much pervers usual,sadness,4.0
havent work today feel like im go feel ive stress work life week bad,anger,1.0
feel sad discourag,sadness,2.0
thought well respect recogn mother autist boy would perfect guest blogger messag feel passion,love,12.0
ive cours cycl happi feel mellow feel realli depress mellow back begin,joy,6.0
im feel amaz california ness moment current sit pool drink wine spritzer nagalen connect via googl wifi use stellarium figur star,surprise,3.0
probabl go back washington perman babi least although torn whether want ye bleu know feel still complet convinc,joy,10.0
also feel strang sens guilt peopl arent similarli situat move differ neighborhood,surprise,3.0
feel hell casual favorit blue red heavi color casual tabl otherwis could see tournament deck red popular possibl blue step place one zendikar block rotat,joy,1.0
im feel agit pour brandi coffe,fear,3.0
feel way consid peopl pretend way sincer,joy,1.0
feel give even period feel detail sharp certainli good enough read cover cover,joy,1.0
feel like reach plateau im buy much use feel satisfi wardrob person style,joy,1.0
learn hard way three hour feel like month friendli peopl stop talk,joy,1.0
feel like amaz degre biolog blown away,surprise,3.0
feel hear vibrat gentl doesnt bother,love,4.0
feel unhappi incomplet,sadness,2.0
pretti certain use name middl name girl special feel connect poppi love,love,10.0
feel someth wonder go happen,joy,1.0
feel reject unwant,sadness,2.0
im get sinc feel accept mark beast shot thought go kill scream loud didnt want die,joy,2.0
tri let ignor get energi feel import sometim ill engag littl light debat tri broaden view world,joy,7.0
im feel lousi may dismiss gorgeou day im feel bright cheer dreari day becom toler,sadness,3.0
go assum moral oblig find way make sure feel pretti damn rich everi day,joy,1.0
thought would sweetli cover realli feel say someth pleasant bad thing done whatev,joy,9.0
iron feel dont feel anyth special still smile broadli whenev tell someth,joy,1.0
realli like good moral nice respect like feel like still belong brad couldnt pictur eric he innoc,joy,3.0
sens wat let feel unsur,fear,3.0
feel apprehens futur moment,fear,3.0
extrem good friend someon cours feel reluct extent favour someon,fear,7.0
sleep room woke middl night think could hear nois see shadow move felt someon hous,fear,2.0
sometim feel resent come live time,anger,1.0
began feel amor toward everyon stage toward peopl around experienc moment,love,3.0
sometim feel dishearten realis far cultur,sadness,3.0
im overwhelm feel bless pray fear last time say happi birthday,joy,3.0
feel popular also littl pressur keep exactli need,joy,1.0
feel hopeless control,sadness,2.0
feel horribl cancel one best guy friend trip stress babysit hour got cut afford,sadness,2.0
climb mountain made way villag peopl stare children look frighten ran away everyon came across ask way make feel unwelcom,sadness,6.0
dont feel inhibit work problem,sadness,2.0
took chanc kept cri hope might feel benevol,joy,8.0
done hope inspir time look solac peopl rather god proof mayb someth good feel horribl,sadness,15.0
im feel melancholi back school stuff today,sadness,3.0
begin doubt stomach clench heart race feel fear,fear,2.0
like ro intimid anna wealth anna feel guilt superior wealth enjoy,joy,9.0
feel like realli cranki school day,anger,4.0
watch gather littl block tuck belli like littl red hen coo cuddl soft babi doll look interest babi help feel thrill firstborn,joy,21.0
feel like tri stay faith possibl perceiv real event happen mountain,joy,1.0
walia feel suspici tarun bani,fear,3.0
feel like hostil toward other fail nice,anger,3.0
feel glad littl blog share danger see path ahead,joy,1.0
wake feel cranki sort,anger,3.0
say feel like im tortur,anger,1.0
cant help look back child feel rather jealou also delight live time nine year old child part world read thousand book year wish abl,anger,1.0
im feel bit cranki today,anger,1.0
even dare say biggest stiller vaughn hater still could get enjoy movi feel annoy perform charact,anger,12.0
make punjabi lobia masala mostli winter feel protein punch spice rich recip winter warmer one,joy,1.0
truli terrifi still feel shaken uneasi,fear,2.0
begin feel burden thing amp long empti,sadness,3.0
write space feel quit nostalg mind race back good old day use daili park learn memori,love,3.0
feel numb f,sadness,2.0
sit tonight pensiv tens feel littl fear,fear,2.0
want someon know know thought feel want keep loyal faith reader,love,9.0
feel joy anticip divin right,joy,1.0
feel overwhelm ask bqff keep hous theyr readi load dont feel behind,surprise,7.0
feel thrill abl investig person mytholog around subject,joy,1.0
feel creativ right make happi,joy,1.0
could wear casual shop trip feel fabul without even tri,joy,3.0
want other happi mean step back yet feel like allow happi deserv even deserv,joy,1.0
limit reason without caus greater injuri sort physic exercis start feel horribl,sadness,1.0
would alway feel amaz impact year old subject,surprise,4.0
feel lucki live portland land delici food,joy,1.0
feel pretti cranki morn stop realli made feel lot better,anger,3.0
didnt feel cold fire everi night,anger,1.0
im also feel cranki main charact scientist brother observ moon mention zero graviti,anger,1.0
folk im feel sociabl,joy,3.0
feel divin forc strongli sometim wonder agnost atheist judeo christian fundamentalist feel excit heart,joy,1.0
start feel discourag thought one day,sadness,3.0
feel like mayb go stop love mayb true im terribl wife,love,3.0
im alreadi feel sentiment time newborn wee sadli outgrown fave thrift outfit,sadness,4.0
feel like ive innoc version one night stand,joy,1.0
finish type post realis ok longer feel annoy angri even sad,anger,1.0
refus rate book publish feel snobbish take say jeanett winterson cannot write essenti wish anyth scope explor,anger,1.0
feel petti even though thought arent real flesh thought flutter feel like kind thought,anger,2.0
felt sad apprehens angri vertigo left feel uncertain,fear,1.0
feel like ive got handl trust instinct,joy,1.0
feel complac start think smart,joy,1.0
admit defeat ask half come back lake coz feel uptight alreadi,fear,10.0
feel journalist blame,sadness,3.0
miss month combin class pretti much bed ridden month semest feel realli amaz abl pass,surprise,12.0
put leg around wrap arm feel safe,joy,1.0
feel loyal luci,love,2.0
feel like im pretti enough like person bore obnoxi,sadness,8.0
reliev excit feel confid,joy,1.0
im proud craft someth peopl care even enough click make feel wonder,joy,2.0
switch song one begin make feel littl melancholi fuck need,sadness,8.0
feel embarrass talk time feel small moment like favor deserv given attent,sadness,2.0
sound entitl cant help feel disappoint even though alreadi knew go,sadness,1.0
rememb feel husband felt would see peopl rude mom mom sweet self,anger,2.0
feel clever,joy,1.0
feel remors breakfast took diet pill,sadness,3.0
feel though concept lifestyl chang rather weight loss beaten death realli someth believ current experienc,sadness,6.0
know next step longer feel lost,sadness,1.0
feel aw,sadness,2.0
believ imagin would like act live front audienc make feel joy,joy,11.0
thought mayb hand feel funni touch hair total clean forearm becam sticki,surprise,5.0
hate moment complet feel perfect peopl around love suddenli disappear,joy,4.0
rememb feel littl jealou realiz time togeth wasnt sole larger network social interact readi progress got,anger,2.0
im known feel affection toward ador leonard cohen make like quit lot,love,
feel realli tranquil right,joy,1.0
feel impati yet fulli sure search,anger,2.0
tear feel unlov even though know,sadness,2.0
feel like everyth ive noth sincer bother want hurt even told,joy,1.0
feel like much write got distract home wednesday even challeng therefor lost train thought,anger,6.0
start feel littl stress,sadness,3.0
admit feel bit intimid challeng,fear,2.0
think feel vulner due stress buy new sew machin printer,fear,3.0
feel asham read yet,sadness,2.0
hear teenag girl devast pimpl face morn prom feel devast,sadness,1.0
woke beauti sunday morn feel restless miser,fear,6.0
feel unwelcom work sometim think peopl might talk rel bookmark feel unwelcom work sometim think peopl might talk april class url fn n href http www,sadness,2.0
dont need wear mask moment show feel belov without missgiv,love,4.0
turn head away even feel frighten,fear,5.0
feel like go supermarket buy someth total delici dinner money mother put account today,joy,1.0
feel fine e terminando com eight day week um ano depoi,joy,1.0
feel uncertain project,fear,2.0
feel vital full energi everi day super posit,joy,1.0
feel complet dissatisfi whole world human charact inconsist,anger,3.0
mean would feel euan got haul murder knew innoc,joy,3.0
experi lot experi mention sadli made realiz women feel career path somehow go determin partner support children ther co worker etc,joy,5.0
knew high school pretti fuckin chill say girl feel insult threaten blog wrote would like apolog offend sorri,anger,1.0
feel talent impact thing end moment,joy,1.0
find feel happi feel good,joy,3.0
feel bit nostalg wonder passion write blog time week gone,love,3.0
im feel particularli danger chocol cooki,anger,1.0
im feel ok alway hand sit close,joy,2.0
im feel quit mellow spite rage pm past day mean im like erupt littl warn,joy,2.0
feel like innoc victim feel win,joy,1.0
actual thought would feel bother sinc ehb woman ow spent quit bit time togeth didnt feel much anyth,anger,1.0
feel sincer want resolv grievanc,joy,1.0
also attir regular moistur oil base primer yet point along skin color feel look tender great time day someth that normal attain,love,10.0
feel apprehens ride ahead,fear,
feel bother,anger,2.0
feel hint belov art nouveau era bracelet,love,3.0
mostli take stair occasion feel particularli letharg number consecut late night bow eas conveni,sadness,3.0
feel insecur unsaf,fear,2.0
feel sort pathet say iphon internet tv must have let honest,sadness,2.0
guess understand concern help feel littl reject,sadness,2.0
lace shoe pound feel hot black pavement,love,5.0
male stupid first woman cri babi get feel realli cool put stupid men place,joy,1.0
think favorit activ child often tell someon feel littl unsur life direct go back childhood favorit past time hold mani rich clue,fear,10.0
took son join elihu christmastim insid fine home love mill work darkli lit larg state christma tree live room feel gentl one long lost friend meet first time adult peopl,love,21.0
pray everyday feel convinc god call see,joy,4.0
love everyth learn feel realli passion design,joy,4.0
feel brain damag get worst di moment,sadness,2.0
im feel terribl adventur plu famili visit cant complet neglect mean go busi usual,joy,2.0
funer friend kill car accid age,sadness,5.0
feel fear near,fear,2.0
wonder feel ecstat,joy,1.0
peopl realli dont mani proplem talk feel said love bitch last month vain,sadness,1.0
think write realli express intens emot one would feel lose belov spous,love,11.0
cant imagin agoni folk feel wait news sentiment thing,sadness,8.0
feel make even care,love,4.0
feel messi,sadness,2.0
feel letharg uninspir next morn go,sadness,2.0
feel insult,anger,2.0
feel need littl romant boost relationship,love,4.0
close friend intim bodili relationship girlfriend start avoid didnt want talk,anger,1.0
use elev lexicon feel intellig,joy,1.0
feel wrong world,anger,2.0
feel letharg lazi complet uncompos dress someth like,sadness,2.0
feel director editor miss teachabl moment tiphani make comment nice feel like everyon els,sadness,4.0
write anyth feel passion least genuin interest,joy,1.0
work hard shake feel popular genr novel non literari fiction make book less legitim less someth read enjoy analyz,joy,5.0
feel agit empti miss someth,anger,3.0
realiz ignor better heartbreak feel helpless,sadness,2.0
still feel littl daze high alarm sinc hour,surprise,4.0
would feel joy,joy,2.0
feel like feed food touch love care compass,love,6.0
feel terribl ignor sweet email,sadness,2.0
feel deepli offend big hurt feel fact,anger,3.0
feel overwhelm rush,fear,2.0
feel romant final finish blog post,love,2.0
kinda steal joshua custom feel amus,joy,
feel thrill presenc eye feel belief peac sincer,joy,1.0
dontknow never feel way anyon els realli cant without linu love never thought could ever love anyon went fuck relationship,anger,1.0
feel success make sens,joy,1.0
im feel low forgotten,sadness,3.0
feel like life practic perfect everi way right everi happi,joy,1.0
feel like suffer produc someth worthwhil,joy,1.0
feel creativ see altern version,joy,1.0
feel bit nostalg today,love,3.0
feel like show chang mani countri taken mani countri way make decis includ support increas women area life,joy,1.0
feel like dirti trash bin street nobodi realli sought,sadness,3.0
make new friend process dont feel slutti lol,love,7.0
feel bit reluct turn peopl,fear,3.0
wake feel absolut worthless,sadness,4.0
feel like look gorgeou curl instead make full transit end get extrem natur red lowlight bottom section hair,joy,1.0
feel gonna start ach raini season come next year,sadness,2.0
glad know reason recent laps saniti still feel like want go violent rampag slightest inconveni,anger,12.0
one sit stare blank comput screen scratch head time drink coupl pot coffe feel triumphant write first sentenc first sentenc usual consist poop joke,joy,3.0
feel high ecstat normal feel like thousand mile drop unhappi excruci,joy,1.0
read one horrif sit made feel asham world live,sadness,7.0
could feel sweet spirit happi help,joy,2.0
realli love eat fresh fig feel delic look much prettier ugli dri fig,love,2.0
id feel better,joy,1.0
watch hgtv feel like im talent,joy,3.0
never feel brave want believ order brave make consciou choic whether want brave,joy,3.0
feel like offend question,anger,3.0
probabl love hand friend alway feel bit strang describ love,fear,8.0
feel hate want ignor,sadness,4.0
express gene domin voic feel rather wonder realli writer poet carefre crazi,joy,9.0
wonder jealou feel discont covetousn,sadness,4.0
feel low late feel hopeless disturb make tire sick entir live kind life,sadness,2.0
put hand scar cover chest feel half heart beat oh beat feel sweet rhythm remind alon,love,13.0
guess im feel littl rebelli,anger,1.0
feel resolv yet somehow depress,joy,1.0
feel tender,love,2.0
im feel littl stress alreadi,sadness,3.0
feel like accept favourit yet nowher see terpen respons flavour,joy,1.0
feel bit strang never felt ever realli stop write blog,fear,5.0
href http feel groggi,sadness,4.0
ive gain wieght realli would like lose pound feel like ive final gotten accept happi place,joy,11.0
feel book explain thing well easi use,joy,1.0
feel resign brought docil,sadness,2.0
still feel alon cant give anyth call feel breath keep awak feel beat,sadness,3.0
feel love presenc parent daili even though physic dead almost two decad,love,2.0
feel pretti jolli,joy,1.0
read case son ignor old helpless parent feel unhappi sad,sadness,4.0
feel humili bodi husband make advanc toward remind despit ra tri take life still find sexual attract beauti,sadness,2.0
feel kind alon helpless,sadness,2.0
feel total ignor exclud,sadness,3.0
im feel serious piss someth fantabul utterli stupid,anger,1.0
wish could say hey know die tomorrow wouldnt feel cheat life regret didnt accomplish someth,sadness,4.0
could look act like know lie feel smug know ness frankli way lazi,joy,2.0
go home feel empti,sadness,3.0
someth tell girl final feel brave enough share news,joy,1.0
feel defeat like lion prey,sadness,2.0
like like feel like,love,2.0
excit hope person us wont feel like rush,anger,3.0
surround bibl vers help transcend space feel safe secur,joy,1.0
know feel awkwardli hesit return melbourn,fear,4.0
feel littl less gloomi littl optimist littl better prepar face life throw way,sadness,2.0
wont lie im littl worri nervou feel inadequ job ill best that heavenli father want,sadness,8.0
slough carapac crud envelop past thirti odd hour feel invigor final readi face day,joy,4.0
ive busi girl good type busi im feel realli happi thing right love new start glasgow,joy,2.0
mother kept leadingstr,anger,2.0
set mind want specif item need specif event specif time find ill end spend want feel pressur constraint,fear,17.0
written prayer journal morn medit great lord psalm written close may feel tender care today,love,13.0
depress actual feel inspir,joy,4.0
feel like enough peopl age actual think pretti devast come gone,sadness,9.0
get home laze around pajama feel grouchi,anger,2.0
feel pretti homesick weekend,sadness,3.0
start feel realli optimist driven paper coz gonna teach mean way leader,joy,1.0
